"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"112","Hieraaetus pennatus",3543,"Booted Eagle","Accipitridae (Hawks, Eagles)","LC","Booted Eagle","widespread winter visitor & local resident","N,E Afghanistan, W,N Pakistan,Kashmir, Ladakh, C Nepal, Himalayas, Sind (Pakistan), W Assam, Peninsula, Sri Lanka, Bangladesh, S Andaman","S & C Palearctic, S Africa, S Asia"
"113","Himantopus himantopus",1016812,"Black-winged Stilt","Recurvirostridae (Avocets, Stilts)","LC","Black-winged Stilt","local resident & widespread winter visitor","N & SE Afghanistan, N Pakistan, Kashmir, SE & N Baluchistan, Sind & C Indus Valley (Pakistan), Bombay, Delhi, Andhra, Sri Lanka, E Afghanistan, Baluchistan, Lakshadweep, Maldives, Ladakh, Nepal, Himalayas",""
"114","Hirundo rustica",7116,"Barn Swallow","Hirundinidae (Swallows and martins)","LC","Barn Swallow","widespread resident & winter visitor","Afghanistan (Kandahar), Baluchistan hills, Himalayas, Chitral (Pakistan), Arunachal, S Assam hills, Bangladesh, Maldives, Sri Lanka, Lakshadweep, Andamans, Nicobar, Assam valley, calcutta, Manipur","Almost cosmopolitan"
"115","Hypocolius ampelinus",7310,"Hypocolius","Hypocoliidae","LC","Grey Hypocolius","sparse winter visitor","Afghanistan, Seistan, Baluchistan, Sind, Kutch (Gujarat), S India to Bombay","Middle east, NE Africa"
"116","Jynx torquilla",538,"Eurasian Wryneck","Picidae (Woodpeckers)","LC","Eurasian Wryneck","local resident & widespread winter visitor","NE Afghanistan (Badakhshan), Kashmir, Himalayas of Chitral & Gilgit, W & S Pakistan, Himalayas from Pakistan to Assam valley, S Assam hills ( Meghalaya, Lushai hills), NE & C Bangladesh, W Himalayas","Palearctic, Africa to SE Asia"
"117","Lanius collurio",5526,"Red-backed Shrike","Laniidae (Shrikes)","LC","Red-backed Shrike","sparse passage migrant","Gilgit, Karachi, Pakistan, NW India, S Gujarat","W & C Palearctic, Africa"
"118","Lanius collurioides",5529,"Burmese Shrike","Laniidae (Shrikes)","LC","Burmese Shrike","sparse passage migrant","S Assam hills ( Manipur & Lushai hills), SE Bangladesh ( Chittagong), Cachar","S China, SE Asia"
"119","Lanius cristatus",5528,"Brown Shrike","Laniidae (Shrikes)","LC","Brown Shrike","widespread winter visitor","Himachal, Rajasthan, E Gujarat, Lakshadweep, Maldives, Sri Lanka, Andamans,Narcondam,N & C Nicobars, SL & SE coast of India","C & E Palearctic, E China, Indonesia"
"120","Lanius excubitor",1017645,"Great Grey Shrike","Laniidae (Shrikes)","LC","Northern Shrike","widespread resident","W & N Pakistan, Kashmir","holarctic"
"121","Lanius isabellinus",1017641,"Isabelline Shrike","Laniidae (Shrikes)","LC","Rufous-tailed Shrike","widespread winter visitor","N, C & S Afghanistan, Quetta (N Baluchistan), Pakistan, NW India, Maharashtra, Nepal, E Madhya Pradesh","W & C Asia to Mongolia, NE Africa to Middle East"
