Scientific name,Common Name,Type of migration,Distribution in Indian Sub-Continent,World Distribution
Phylloscopus schwarzi,Radde's Warbler,vagrant,"India (Rajasthan), Nepal, Bangladesh","E Palearctic, S China, SE Asia"
Milvus milvus,Red Kite,vagrant,"Nepal, semi-deserts in India, Uttaranchal (Kumaon)",SW Palearctic
Calidris canutus,Red Knot,vagrant,"Sind, Pakistan, SE coast of India, Sri Lanka, S W-Bengal, SE Bangladesh, Baluchistan",N Holarctic
Phalaropus fulicarius,Red Phalarope,vagrant,"Calcutta, Bikaner (Rajasthan), Islamabad (Pakistan)","N Palearctic, W coast of S America, Africa"
Lanius collurio,Red-backed Shrike,sparse passage migrant,"Gilgit, Karachi, Pakistan, NW India, S Gujarat","W & C Palearctic, Africa"
Phaethon aethereus,Red-billed Tropicbird,vagrant,"Mekran coast (SW Pakisan), W Peninsula to SW coast of Sri Lanka, SE Maldives, Andamans, Bay of Bengal","Pelagic, Tropical seas, island of Arebia"
Ficedula parva,Red-breasted Flycatcher,widespread winter visitor,"Afghanistan (except mountains), Pakistan, Indus valley, S of Himalayas, NW & C India, NW Ghats, W Bengal, S India","W Palearctic, S Asia"
Branta ruficollis,Red-breasted Goose - vagrant,vagrant,"Madhya Pradesh, Assam","Siberia, SE Europe, SW Asia"
Mergus serrator,Red-breasted Merganser,vagrant,"NW & NE Afghanistan, Mekran coast to Karachi Harbour (Pakistan), N Baluchistan, S Indus valley","N Holarctic, SE Asia"
Netta rufina,Red-crested Pochard,widespread winter visitor,"NE & SW Afghanistan (Wakhan, Seistan), N plains from E Afghanistan to Assam valley, Bangladesh, Peninsula","S Palearctic, SE Asia"
Sula sula,Red-footed Booby,vagrant,"Islands of Chagos, Maldives, Lakshadweep, Sri Lanka, Bay of Bengal",all tropical seas
Emberiza bruniceps,Red-headed Bunting,widespread winter visitor,"NW & E Afghanistan, N Baluchistan, Peninsula, SE Sri Lanka, Afghanistan, Pakistan",C Asia
Rallina fasciata,Red-legged Crake,vagrant,N cachar (assam),"Myanmar to Indonesia, Philippines"
Podiceps grisegena,Red-necked Grebe,vagrant,"NW Asia, Iranian Seistan, NE Afghanistan (Kabul), N & C Pakistan, W India, W Gujarat, NW Himachal, W Gangetic plain, Assam","Holarctic, Caspian region"
Phalaropus lobatus,Red-necked Phalarope,widespread winter visitor,"coasts of Mekran & Sind (Pakistan), Gujarat coast, coast of SE India, Sri Lanka, Afghanistan, Pakistan, NW India, W Nepal, Bihar (Patna), S India, Rajasthan (Sambhar Lake)","N Holarctic, Africa, Arabian sea, Pacific Ocean"
Hirundo daurica,Red-rumped Swallow,widespread resident & winter visitor,"Afghanistan, hills of Baluchistan, Himalayas of Chitral to Bhutan, Peninsular hills, Sri Lanka, Lakshadweep, Kashmir, Himalayas from Murree hills to Arunachal, N plain, Rawalpindi, Andamans, Nicobar","S Palearctic, C Africa, E Asia, Africa to SE Asia"
Anthus cervinus,Red-throated Pipit,sparse passage migrant,"NE Afghanistan, Indus valley (Pakistan), Himalayas, NE India, Maldives, S Andamans, Narcondam, Nicobars (Comorta)","N Palearctic, Alaska, Paleotropics"
Emberiza schoeniclus,Reed Bunting,local resident & sparse winter visitor,"Afghanistan, Pakistan, NW India to delhi, Iranian Seistan",Palearctic
Anthus richardi,Richard's Pipit,widespread winter visitor,"Most of Subcontinent, Sri Lanka, Bangladesh, S Andamans, N plains, NW Peninsula","E Asia, Paleotropics"
Pericrocotus roseus,Rosy Minivet,local resident & sparse winter visitor,"Himalayas of NWFP, Duars, Assam valley, NE Ghats, W Khandesh (Maharashtra), S Assam hills, Bangladesh, Karachi, W Himalayas",S China to SE Asia
Sturnus roseus,Rosy Starling,widespread winter visitor & migrant,"NW Afghanistan, NW & S India, Sri Lanka, E & W Bengal, Andamans, NE & SE Bangladesh","E Europe, Middle East"
Tadorna ferruginea,Ruddy Shelduck,widespread winter visitor & local resident,"N Afghanistan, Chitral (Pakistan), Ladakh, N Nepal, Bhutan, Iraian Seistan, E Afghanistan, Indus valley, N plains to assam valley, Ganges Delta, Peninsular India, Sri Lanka, Lakshadweep, S Andaman","C Eurasia, SE Asia"
Arenaria interpres,Ruddy Turnstone,widespread winter visitor,"Coasts from Baluchistan to Sri Lanka, Bangladesh, Maldives, Lakshadweep, Chagos, Andamans (South, small islets, Narcondam), C & S NIcobars, EC & NE Afghanistan (Lake Ab-i-Estada, Kabul), Kashmir, Gangetic plains, S Assam hills (Cachar, Manipur)","N Holarctic, Tropics"
Philomachus pugnax,Ruff,sparse winter visitor,"Gangetic plains, coastal S India, Sri Lanka, Afghanistan, Pakistan, NW & W India, Nepal, Maldives","N Eurasia, Africa to Australia"
Ceyx rufidorsa,Rufous-backed Kingfisher,vagrant,Sikkim terai,"S SE Asia to Indonesia, Philippines"
Montifringilla ruficollis,Rufous-necked Snowfinch,sparse winter visitor,"Tibetian border in Himalayas of Nepal, N W Bengal (Darjeeling), Sikkim, E Ladakh","Tibet, China"
Calidris ruficollis,Rufous-necked Stint,sparse winter visitor,"S Sind, Sri Lanka, Orissa, Bangladesh, Chagos, Andamans, Nicobars","N Asia, Australia"
Prunella himalayana,Rufous-streaked Accentor,sparse winter visitor,"NE Afghanistan (Salang pass, Nuristan,Badakhshan), Kashmir, Himalayas of N Pakistan to Bhutan, Arunachal, NW India","SE Tibet, C Asia"
Monticola saxatilis,Rufous-tailed Rock-Thrush,sparse passage migrant,"NW & NE Afghanistan, N Baluchistan, Baltistan, Hunza, Pkistan, Ladakh","S Palearctic, Africa"
Lanius isabellinus,Rufous-tailed Shrike,widespread winter visitor,"N, C & S Afghanistan, Quetta (N Baluchistan), Pakistan, NW India, Maharashtra, Nepal, E Madhya Pradesh","W & C Asia to Mongolia, NE Africa to Middle East"
Oenanthe xanthoprymna,Rufous-tailed Wheatear,sparse winter visitor,"N, C & E Afghanistan, Pakistan (NW Baluchistan), S Afghanistan, Pakistan, W India (Rajasthan, Gujarat)",Middle East
Oenanthe xanthoprymna,Rufous-tailed Wheatear,sparse winter visitor,"N, C & E Afghanistan, Pakistan (NW Baluchistan), S Afghanistan, Pakistan, W India (Rajasthan, Gujarat)",Middle East
Falco cherrug,Saker Falcon,sparse winter visitor,"N Afghanistan, N & W Pakistan, Gujarat, Delhi, Ladakh, Baluchistan, Nepal, NC Bangladesh","E Europe to NE Asia, E Africa, EC Asia"
Calidris alba,Sanderling,widespread winter visitor,"Coasts from Baluchistan to Sri Lanka, Bangladesh, Maldives, Lakshadweep, Chagos, Car NIcobars, E Afghanistan (Lake Ab-i-Estada, Kabul), Kashmir, Panjab (Pakistan & India), E Nepal, Bihar (Patna)","N Holarctic, S Holarctic"
Sterna sandvicensis,Sandwich Tern,sparse winter visitor,"Coasts from Baluchistan to Gujarat, Goa to Sri Lanka, Panjab, coastal Orissa, Pakistan, Atlantic Ocean","Caribbean, Mediterranean, Black & Caspion seas"
Acrocephalus schoenobaenus,Sedge Warbler,vagrant,"Ladakh, Afghanistan, Baluchistan","W & C Palearctic, W Iran, Africa"
Asio flammeus,Short-eared Owl,winter visitor,"NW & SE Afghanistan, sub-Himalayan Pakistan, Kashmir, Ladakh, Sub-Himalayan plains of N India, Nepal to Assam valley, S Assam hills (Khasi hills, Cachar, E Meghalaya, Manipur), C & S Bangladesh, Peninsula, Maldives, NWFP, N Pakistan, Gilgit, Sri Lanka, Ho","S America, North of Equator"
Prunella montanella,Siberian Accentor,vagrant,Ladakh,NE Asia
Luscinia cyane,Siberian Blue Robin,vagrant,"Simla, C Uttaranchal, C Nepal, W Assam, W Arunachal, Manipur, S Andaman, Himalayas","NE Asia, SE Asia to W Indonesia"
Grus leucogeranus,Siberian Crane,rare winter visitor,"Keoladeo Ghana WLS (Bharatpur), N India, E Sind to Bihar, Lake Ab-i-Estada (E Afghanistan), Ladakh, N Pakistan, Iranian Seistan, W & EC Siberia, Caspian, Bharatpur",SE China
Luscinia calliope,Siberian Rubythroat,widespread winter visitor,"Himalayan foothills, Duars, E Uttaranchal, Assam valley, Assam hills, Bangladesh (Chittagongs), Rajasthan, Tamil Nadu","C & E palearctic, SE Asia"
Saxicola torquatus,Siberian Stonechat,local resident & widespread winter visitor,"C & NE Afghanistan, W & N Pakistan, Himalayas to Arunachal, S Assam hills (Assam & Nagaland), S Andamans","Eurasia, Africa"
Zoothera sibirica,Siberian Thrush,sparse winter visitor,"Manipur, Maharashtra, S Andaman, Narcondam","C & E Palearctic, W Indonesia"
Larus genei,Slender-billed Gull,widespread winter visitor,"SW & E Afghanistan ( Seistan, Lake Ab-i-Estada, Kabul), N Baluchistan, Pakistan coast (Mekran), Gujarat, W & SE Indian coast, Sri Lanka (Mannar), Indian Panjab to SE Nepal",Mediterranean sea to WC Asia
Montifringilla davidiana,Small Snowfinch,local resident & winter visitor,Sikkim,Mongolia
Sylvia minula,Small Whitethroat,sparse winter visitor,"S Himalayas of Pakishan, Indus Valley, NW India (Haryana to Gujarat), W & S Afghanistan, Sri Lanka",C Asia
Mergellus albellus,Smew,sparse winter visitor,"NW, NE & SE Afghanistan, Indus Valley, Gangetic plains, Assam valley, Cilka Lake (Orissa)","N Palearctic, S Palearctic, SE Asia"
Phylloscopus fuligiventer,Smoky Warbler,local resident & winter visitor,"Himalayas of Uttaranchal to Bhutan, Bharatpur to Nepal Terai, W Bengal, Assam, Duars, Bangladesh","S & SE Tibet, Myanmar"
Anser caerulescens,Snow Goose,vagrant,N Kathiyawar Peninsula (Gujarat),"N America, E Siberia, Japan"
Vanellus gregarius,Sociable Lapwing,sparse winter visitor,"Indus Valley, W India (Haryana to Bihar), S & E Maharashtra, N & W Afghanistan, N Baluchistan, N Pakistan, Himachal Pradesh, S tip of India, W coast of Sri Lanka, Maldives","SC Russia, Kazakhsta, NE Africa to S Asia"
Turdus philomelos,Song Thrush,vagrant,"S Pakistan, NW India (Ladakh, Bharatpur)",W Palearctic
Falco concolor,Sooty Falcon,sparse summer visitor,W Mekran coast (SW Pakistan),"NE Africa, Middle East, S Africa"
Larus hemprichii,Sooty Gull,vagrant,"Baluchistan to Sind coast (S Pakistan), Astola 1 island, Indus River, Karachi, Bombay, Maldives, Madras, Sri Lanka","E African coast, Middle East"
Catharacta maccormicki,South Polar Skua,vagrant,"W coast of Sri Lanka, Lakshadweep, Maldives, Sri Lanka","Antarctica, most Oceans"
Passer hispaniolensis,Spanish Sparrow,widespread winter visitor,"W, N & C Afghanistan, NW India (Haryana, Rajasthan to Gujarat), Pakistan (Panjab, Sind), E Nepal, SE Uttarpradesh, N Pakistan to Baluchistan",S Palearctic to C Asia
Eurynorhynchus pygmeus,Spoonbill Sandpiper,sparse winter visitor,"coastal Bangladesh, W Bengal, Kerala, Tamil Nadu (Point Calimere), Sri Lanka, Orissa (Chilka Lake), Calcutta, Assam valley, Maldives","NE Asia, SE Asia"
Anas poecilorhyncha,Spot-billed Duck,widespread resident,"Indus valley, N Baluchistan to Assam valley, S Assam hills, Bangladesh, Peninsula (Mannar), N Sri Lanka","S China, SE Asia"
Porzana porzana,Spotted Crake,common winter visitor,"NW & NC plains, Peninsula","W & C Palearctic, Africa, S Asia"
Muscicapa striata,Spotted Flycatcher,sparse passage migrant,"N & E Afghanistan, N Baluchistan, Himalayas in Chitral, Gilgit, Baltistan","Palearctic, Africa"
Tringa erythropus,Spotted Redshank,widespread winter visitor,"SW Afghanistan (Seistan), Indus Valley (Pakistan), N plain to Bihar, W Assam, Bangladesh, SW & N Gujarat, Madras, Sri Lanka, E Afghanistan, N Pakistan, NC Nepal","N Palearctic, Africa to SE Asia"
Pterocles senegallus,Spotted Sandgrouse,sparse winter visitor,"SW Afghanistan, Sind, Pakistan, W Rajasthan, NW India (Rajasthan, Gujarat)","N Africa, Middle East"
Aquila nipalensis,Steppe Eagle,widespread winter visitor,"E Afghanistan, N plains to Bhutan, Belgaum, C India, S Assam hills (E Meghalaya, Manipur), NW India","EC to NE Palearctic, Africa, SE Asia"
Calonectris leucomelas,Streaked Shearwater,Summer & Winter visitor,"coast of Sri lanka & extreme S India, NW Pacific, E Indian Ocean",Israel
Butorides striatus,Striated Heron,widespread resident,"along coasts & major River from Sind to Assam valley, S Assam hills, Bangladesh, Peninsula to Sri Lanka, Maldives, S & M Andamans, Car & C Nicobars, W Baluchistan, Lakshadweep",Almost cosmopolitan exept N America
Phylloscopus griseolus,Sulphur-bellied Warbler,local resident & common winter visitor,"EC & NE Afghanistan, Baluchistan, Safed Koh, Himalayas of N Pakistan from Chitral to N Himachal, C India (Madhya Pradesh), N W Ghats",C Asia
Anas albogularis,Sunda Teal,local resident & winter visitor,Andamans,"Coco islands, Myanmar"
Gallinago megala,Swinhoe's Snipe,sparse winter visitor,"Bombay, S India, Sri Lanka, Maldives, E Assam Valley, Nagaland, Calcutta, Nepal, Meghalaya, NE Bangladesh","N Asia, Australasia"
Oceanodroma monorhis,Swinhoe's Storm-Petrel,sparse winter visitor,"S coasts of Sri Lanka, Lakshadweep","NW Pcific, W Pacific to W Indian Ocean, W Europe"
Caprimulgus mahrattensis,Sykes's Nightjar,winter visitor,"SW Afghanistan (Seistan), Indus Valley (Pakistan), Mekran coast, W India, Delhi, N Madhya Pradesh, Bombay",SE Iran
Hippolais rama,Sykes's Warbler,widespread winter visitor,"Afghanistan, Pakistan (N Baluchistan, Sind, NWFP), NW India (Panjab), Subcontinent east to Bihar, S India to Sri Lanka, NW plains to Uttar Pradesh",WC Asia
Anthus campestris,Tawny Pipit,widespread winter visitor,"Afghanistan, Pakistan to S W Bengal, Peninsula, SE Sri Lanka, Assam","W Palearctic to C Asia, C Africa, Mddle East"
Tringa cinerea,Terek Sandpiper,widespread winter visitor,"coasts from Baluchistan to Sri Lanka, Bangladesh, Maldives, S & M Andamans, Nicobar (Car), Lakshadweep, NE Afghanistan, NW Himalayas to W Gangetic plains, Nepal","C & E Palearctic, Africa to Australasia"
Acrocephalus aedon,Thick-billed Warbler,sparse winter visitor,"Terai of Nepal, Duars of W Bengal, Assam, S Assam hills (Meghalaya, Manipur), E Bangladesh, Calcutta, SW to N Eastern Ghats, S Peninsula, W Ghats from S Goa, Andamans (South, Long, Narcondam), Nicobars (Camorta)","NE Asia, SE Asia"
Phylloscopus affinis,Tickell's Leaf-Warbler,widespread winter visitor,"Himalayas of N Pakistan to Bhutan, Sub-Himalaya plains, S W Bengal, E Peninsular India, SW Ghats, Assam valley, S Assam hills","Tibet, W China, Myanmar"
Anthus trivialis,Tree Pipit,local resident & widespread winter visitor,"Himalayas of N Pakistan, Kashmir, Lahul, C India, Peninsula, Maldives, Lakshadweep","Palearctic, Africa, Middle East"
Rhodopechys githaginea,Trumpeter Finch,sparse winter visitor,"Afghanistan, W & N Pakistan (Baluchistan, Sind, NWFP to Chithal), Mekran coast, W India (Rajasthan, Haryana, Gujarat)",N Africa to W Asia
Aythya fuligula,Tufted Duck,widespread winter visitor,"SW, SE & NE Afghanistan, Baluchistan, Indus valley, N plains to Assam valley, Peninsula, Sri Lanka, Maldives","Palearctic, C Africa, SE Asia"
Cygnus bewickii,Tundra Swan,vagrant,Winter vagrent to North West,Palearctic
Buteo hemilasius,Upland Buzzard,local resident & sparse winter visitor,"E Ladakh, Himalayas (E Kashmir, Nepal, Sikkim, Darjeeling, Delhi","Tibet, NE Asia, EC Asia"
Oenanthe picata,Variable Wheatear,widespread winter visitor,"Afghanistan, W & N Pakistan, Khashmir, S Afghanistan, E Pakistan, W India, W Nepal, W Madhya Pradesh, N Maharashtra, SW Asia",
Tichodroma muraria,Wallcreeper,local resident & widespread winter visitor,"Hills of NC & NE Afghanistan, Himalayas from N Pakistan, Gangetic plain, Meghalaya",Palearctic
Anthus spinoletta,Water Pipit,sparse winter visitor,"NE Afghanistan, Pakistan, NW India, Afghanistan","Palearctic, Africa to China"
Rallus aquaticus,Water Rail,"common winter visitor, some resident","SW, NW & NE Afghanistan, Baluchistan to Gilgit, Pakistan, W Uttaranchal, Rajastan","W & C Palearctic, N Africa to W S Asia"
Puffinus pacificus,Wedge-tailed Shearwater,sparse summer visitor,"Chagos, Maldives, Sri Lanka, Lakshadweep","WC Indian coast, Pacific, Indian Oceans"
Circus aeruginosus,Western Marsh Harrier,widespread winter visitor,"N Afghanistan, Sub-Himalayas from SE Afghanistan, Indus valley to Assam valley, S Assam hills (Meghalaya, Cachar, Manipur), Bangladesh, Peninsula, Sri Lanka, Maldives, S Andaman, Afghanistan, NW mountains, Ladakh, Lakshadweep","WC Palearctic, Africa, SE Asia"
Numenius phaeopus,Whimbrel,widespread winter visitor,"coast of India, Sri Lanka, Lakshadweep, Maldives, Chagos, Andamans (South, Middle & Viper 1), Nicobars, EC Afghanistan (Lake Ab-I-Estada), Baluchistan, Sind, Gilgit, Kashmir to Bhutan, W India, Gangetic plain to Assam","Holarctic, Temperate & Tropical zone"
Chlidonias hybridus,Whiskered Tern,widespread winter visitor & resident,"Kashmir, Gangetic plain, from Delhi to Bihar, N,SW & NE Afghanistan, Indus valley, Assam valley, Bangladesh, Assam, E & S Peninsula, Sri Lanka, Afghanistan, Baluchistan, Gilgit, Ladakh, NW India, Nepal","SW Palearctic, Africa to Australia"
Ciconia ciconia,White Stork,widespread winter visitor,"Gangetic plains, Gujarat, coasts of Peninsula, Sri Lanka, Afghanistan, Pakistan, NW India","Europe to C Asia, S Africa, Afica to W Asia"
Motacilla alba,White Wagtail,local resident & widespread winter visitor,"Hills of Afghanistan, Himalayas from N Pakistan to Arunachal, Indus plains, Sri Lanka, Andamans, Lakshadweep, N plains, S Assam hills","Palearctic, Alaska, SE Asia, Philippines"
Turdus kessleri,White-backed Thrush,vagrant,Himalayas of C Nepal to Bhutan,"S & E Tibet, W & C China"
Remiz coronatus,White-crowned Penduline-tit,rare winter visitor,"NE Afghanistan (Badakhshan), Pakistan, Indus valley, Afghanistan, Indian Panjab, Ladakh",C Asia
Butastur teesa,White-eyed Buzzard,widespread resident,"NE Afghanistan (Nuristan), NW Pakistan, NW Himalayas to Himachal, Sub-Himalayas from SW Baluchistan to W Bengal, NC Bangladesh, S Peninsula, S Assam hills","SE Iran to Myanmar, S Tibet"
Pelagodroma marina,White-faced Storm-Petrel,sparse summer visitor,"seas between Nicobars & S Sri Lanka to Lakshadweep, Maldives, Chagos","Pelagic, S oceans, N Atlantic"
Oxyura leucocephala,White-headed Duck,sparse winter visitor,"NW & NE Afghanistan, N Baluchistan, N Indus valley to Gangetic plain, Calcutta",SW & C Palearctic
Montifringilla taczanowskii,White-rumped Snowfinch,vagrant,"SE Ladakh, NW Nepal, Sikkim","Tibet, China"
Sturnus sinensis,White-shouldered Starling,vagrant,Manipur,"S China, SE Asia"
Haliaeetus albicilla,White-tailed Eagle,sparse winter visitor,"W Afghanistan (Seistan, Maimanah), W & S Pakistan, N sub-Himalayan region to Assam valley, NW Bangladesh","Palearctic, Middle East, SE Asia"
Phaethon lepturus,White-tailed Tropicbird,vagrant,"Maldives, Chagos, W & S coast of Sri Lanka, Andamans, Cachar",all tropical seas
Saxicola insignis,White-throated Bushchat,sparse winter visitor,"sub-Himalayan terai, Duars, Haryana to W Bengal, Assam valley","W Kazakhstan to Inner Mongolia, S Asia"
Chlidonias leucopterus,White-winged Tern,sparse winter visitor,"S India, Sri Lanka, Maldives, NE Afghanistan (Kabul), Indus valley, NW Himalayas, Nepal, Bangladesh, coasts of Peninsula, S Andaman","C Eurasia, Africa to Australia"
Cygnus cygnus,Whooper Swan,vagrant,NW India,"C & N Palearctic, S Palearctic"
Phylloscopus trochilus,Willow Warbler - vagrant,vagrant,Maldives,"Russian Turkestan, Iran, Iranian Balucistan, W Palearctic, tropical Africa"
Tringa glareola,Wood Sandpiper,widespread winter visitor,"S Afghanistan, Indus valley (Pakistan), Himalayas to Assam valley, S Assam hills (Meghalaya, Cacher), Bangladesh, Peninsula to Sri Lanka, Maldives, S Andamans, Lakshadweep, Chagos, Afghanistan, W & NW Pakistan, W & NW India, Nepal","Palearctic, Africa to Australasia"
Tringa glareola,Wood Sandpiper,widespread winter visitor,"S Afghanistan, Indus valley (Pakistan), Himalayas to Assam valley, S Assam hills (Meghalaya, Cacher), Bangladesh, Peninsula to Sri Lanka, Maldives, S Andamans, Lakshadweep, Chagos, Afghanistan, W & NW Pakistan, W & NW India, Nepal","Palearctic, Africa to Australasia"
Motacilla flava,Yellow Wagtail,widespread winter visitor,"N Afghanistan, N Panjab, Garo hills (W Meghalaya), NW India, W Nepal, NW Peninsula, Andamans, Nicobars, S India to Sri Lanka, Kashmir, Ladakh, Bhutan","Palearctic, Alaska, Africa to Australasia"
Emberiza aureola,Yellow-breasted Bunting,widespread winter visitor,"Himalayan foothills, C Nepal to Assam valley, S Assam hills(Meghalaya, Cacher, Manipur valley), Bangladesh (Sylhet), Pakistan (Baluchistan coast), C Nicobars","N Eurasia, SE Asia"
Emberiza citrinella,Yellowhammer - vagrant,vagrant,"N & E Afghanistan, Ladakh, W & C Nepal",W & C Eurasia
Ficedula zanthopygia,Yellow-rumped Flycatcher,vagrant,"C & SW India, Sri Lanka","NE Asia, SE Asia to W Indonesia"
