IBA Code,Site Name,Province,Districts,Area,Status,latitude,longitude,Latitude,Longitude,,A1,A2,A3,A4i,A4ii,A4iii,A4iv,DD,Criteria Details,tropicalwetevergreen,tropicalsemievergreen,littoral,tropicalgrassland,mangrove,drydeciduoustropical,tropicaldrydeciduous,tropicalsecondaryscrub,freshwaterswamp,riverinewetland,subtropicaldryevergreen,southernmixeddeciduoustype,mixeddrydeciduous,tropicaldryevergreen,subtropicaldrydeciduous,tropicalmoistdeciduous,subtropicalsecondaryscrub,montanewettemperate,subalpinedryscrub,tropical,semievergreen,subtropicalbroadleaved,riverinevegetation,montanegrassyslopes,subtropicalpine,subtropicalevergreen,subalpine,alpinearidpasture,alpinedrypasture,subtropical,broadleaved,wetland,floodedvalleygrassland,tropicalbamboobrakes,woodedgrassland,salixswamp,tropicalevergreen,jhumland,orchards,wetland(freshwaterlakes,pools),humanhabitation,seasonalmarsh,secondaryscrub,wetsavannagrassland,tropicalmoistscrub,bamboobrakes,saltpan,tidalmudflat,tropicalaridzone,tropicalthorn,alpinemoistpasture,alpinemoistscrub,himalayanwettemperate,himalayanmoisttemperate,alpinedryscrub,himalayandrytemperate,aquatic,himalayansecondaryscrub,himalayandryscrub,tropicaldry,lowlandevergreenrain,montanegrassy,montanegrassland,tropicaldeciduous,tropicalmoist,drydeciduous,moistdeciduous,riverine,evergreen,broadleafmountane,grasslandplateau,subtropicalleaved,hillyevergreen,montanebroadleafevergreen,deciduous,montanemixedbroadleaf,subtropicalmixedbroadleafconiferous,temperatebroadleaved,temperate,colddesert,alpinegrassland,mixedbroadleafconiferous,alpinemeadows,grassland,montaneevergreenshola,evergreenshrubs,plantations,Extra
IN-RJ-22,Talchapar,Rajasthan,Churu,790,Wildlife Sanctuary,NA,NA,NA,NA,,1,0,0,0,0,0,0,0,Globally threatened species (A1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,	,"
IN-RJ-23,Udaipur Lake Complex,Rajasthan,Udaipur,3030,Non Officially Protected,NA,NA,NA,NA,,1,0,0,1,0,0,0,0,"Globally threatened species, Congregations: Site known or thought to hold, on a regular basis, > 1% of a bio-geographic population of a congregatory waterbird species (A1, A4i)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,	,	,"
IN-RJ-24,Baghdarrah,Rajasthan,Udaipur,342,Non Officially Protected,NA,NA,NA,NA,,1,0,1,0,0,0,0,0,"Globally threatened species, Biome-restricted assemblage (A1, A3)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,	,	,"
IN-SK-01,Barsey Rhododendron,Sikkim,West SK,104000,Wildlife Sanctuary,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,"
IN-SK-02,Dombang Valley - Lachung - Lema Tu,Sikkim,North SK,60000,Non Officially Protected,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
IN-SK-03,Fambong Loh,Sikkim,East SK,5381,Wildlife Sanctuary,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,"
IN-SK-04,Khangchendzonga,Sikkim,North SK,84950,National Park,27.32681695,88.58760724,NA,NA,,1,0,1,0,0,0,0,0,"Globally threatened species, Biome-restricted assemblage (A1, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
IN-SK-05,Kyongnosla Alpine East SK,Sikkim,East SK,3100,Wildlife Sanctuary,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IN-SK-06,Lhonak Valley,Sikkim,North SK,50000,Non Officially Protected,27.8180889,88.475475,27.92,88.42,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,	,"
IN-SK-07,Lowland  of South SK,Sikkim,South & West SK,2000,Non Officially Protected,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,"
IN-SK-08,Maenam,Sikkim,South  SK,3534,Wildlife Sanctuary,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,"
IN-SK-09,Pangolakha Zuluk - Bedang Tso,Sikkim,East SK,12400,Wildlife Sanctuary,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	,	,"
IN-SK-10,Tso Lhamo Plateau,Sikkim,North SK,50000,Non Officially Protected,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"	,	,	,"
IN-SK-11,Yumthang - Shingba Rhododendron,Sikkim,North SK,4300,Wildlife Sanctuary,NA,NA,NA,NA,,1,1,1,0,0,0,0,0,"Globally threatened species, Restricted range species, Biome-restricted assemblage (A1, A2, A3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
