time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-17T21:35:19.988Z,41.846,-119.6349,12,3.4,ml,7,74.92,0.161,0.1902,nn,nn00582340,2017-03-18T03:15:04.502Z,"70km ESE of Lakeview, Oregon",earthquake,,3.3,0.49,5,reviewed,nn,nn
2017-03-17T21:10:42.020Z,38.8611,-115.2387,1.2,2.8,ml,6,146.96,0.365,0.1186,nn,nn00582335,2017-03-17T23:26:51.040Z,"24km ENE of Currant, Nevada",earthquake,,3.8,0.39,3,reviewed,nn,nn
2017-03-17T21:09:23.600Z,18.7542,-64.2926,30,2.8,Md,3,345.6,1.03755415,0.25,pr,pr17076006,2017-03-18T01:59:46.040Z,"33km ENE of Road Town, British Virgin Islands",earthquake,6.9,19,0,2,reviewed,pr,pr
2017-03-17T20:53:49.540Z,1.565,126.5697,46.94,4.3,mb,,72,1.12,0.9,us,us20008svh,2017-03-18T20:47:32.040Z,"123km NW of Kota Ternate, Indonesia",earthquake,4.4,9.3,0.096,34,reviewed,us,us
2017-03-17T20:09:08.250Z,36.7115,-98.231,8.42,2.6,mb_lg,,61,0.093,0.27,us,us20008suv,2017-03-18T16:44:30.040Z,"12km ESE of Cherokee, Oklahoma",earthquake,1.3,5.2,0.106,23,reviewed,us,us
2017-03-17T20:00:00.410Z,31.2446667,-115.6915,12.02,4.11,ml,8,203,0.1663,0.1,ci,ci37606063,2017-03-17T20:48:28.596Z,"98km ESE of Maneadero, B.C., MX",earthquake,0.61,0.47,0.168,234,reviewed,ci,ci
2017-03-17T18:35:11.260Z,10.8818,-68.9334,24.82,4.8,mb,,36,1.29,1.02,us,us20008stt,2017-03-18T15:12:16.889Z,"22km SSW of Jacura, Venezuela",earthquake,4.6,2.2,0.038,219,reviewed,us,us
2017-03-17T18:23:24.370Z,-8.5411,121.1445,195.88,4.5,mb,,57,1.085,1.27,us,us20008stp,2017-03-18T14:54:47.040Z,"2km NNW of Malabai, Indonesia",earthquake,6.8,6,0.099,34,reviewed,us,us
2017-03-17T18:05:55.810Z,-8.0401,160.9614,52.98,5,mb,,63,1.713,0.55,us,us20008stk,2017-03-18T14:20:49.040Z,"85km NNE of Auki, Solomon Islands",earthquake,9,7.6,0.06,91,reviewed,us,us
2017-03-17T17:58:13.780Z,36.5462,70.7913,176.87,4.2,mb,,72,0.603,1.36,us,us20008ste,2017-03-18T13:48:59.040Z,"35km S of Jarm, Afghanistan",earthquake,5.3,6.5,0.118,20,reviewed,us,us
2017-03-17T15:44:39.600Z,-7.3874,128.6195,149.33,4.6,mb,,58,2.72,1.17,us,us20008sq3,2017-03-17T16:01:46.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,8.4,6.9,0.107,26,reviewed,us,us
2017-03-17T15:10:09.600Z,-16.3397,-174.0588,147.37,4.7,mb,,77,4.786,0.81,us,us20008spx,2017-03-17T15:29:44.040Z,"54km SW of Hihifo, Tonga",earthquake,13.2,8.8,0.063,75,reviewed,us,us
2017-03-17T15:02:02.860Z,68.0017,-166.9197,40.6,3.7,ml,,,,1.43,ak,ak15518766,2017-03-17T15:25:50.860Z,"39km SSW of Point Hope, Alaska",earthquake,,19.8,,,reviewed,ak,ak
